ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
27381-1223-1.zip,202202041524,南河内郡太子町大字一須賀,908-56,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-71,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-72,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-73,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-74,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-75,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-76,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-77,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-78,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-79,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-80,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-81,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-82,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-83,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-84,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-85,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-86,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-87,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-88,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-89,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-90,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-91,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-92,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-93,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-94,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-95,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-96,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-97,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-98,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-99,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-100,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-101,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-102,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-103,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-104,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-105,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-106,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-109,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-110,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-111,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-112,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-113,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-114,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-115,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-116,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-117,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-118,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-119,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-120,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-121,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-122,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-123,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-124,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-125,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-126,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-127,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-128,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-129,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-130,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-131,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-132,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-133,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-134,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-135,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-136,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-137,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-138,,
27381-1223-2.zip,202202041524,南河内郡太子町大字春日,98-139,,
